label,family,reasoning_effort,intelligence_index,cost_per_index_task_usd,cost_to_run_full_index_usd,output_speed_tok_s,time_per_task_s,price_input_usd_per_mtok,price_output_usd_per_mtok,price_cache_hit_usd_per_mtok,model_page
Claude Opus 5 (max),Claude Opus 5,max,63.0532,2.336859,,53.6871679448644,7.439170333426277,,,,https://artificialanalysis.ai/models/claude-opus-5
Claude Fable 5 (with fallback),Claude Fable 5,with fallback,62.0727,3.139584,,66.8596022229631,5.353552422895078,,,,https://artificialanalysis.ai/models/claude-fable-5
GPT-5.6 Sol (max),GPT-5.6 Sol,max,60.9299,0.952976,2017.29,77.0984629747411,3.632723492327886,4,20,0.4,https://artificialanalysis.ai/models/gpt-5-6-sol
Grok 4.6 (high),Grok 4.6,high,60.923,0.937217,1157.64,54.3829839281105,6.665498644414422,2,6,0.5,https://artificialanalysis.ai/models/grok-4-6
Kimi K3 (max),Kimi K3,max,59.6995,0.837457,,,10.407547495032805,3,15,0.3,https://artificialanalysis.ai/models/kimi-k3
GLM-5.3 (max),GLM-5.3,max,59.5134,0.682931,1238.5,69.5618056767254,8.799449665268025,1.4,4.4,0.26,https://artificialanalysis.ai/models/glm-5-3
GPT-5.6 Sol (xhigh),GPT-5.6 Sol,xhigh,59.009,0.627881,1107.55,80.4439308056392,2.2672838496999224,4,20,0.4,https://artificialanalysis.ai/models/gpt-5-6-sol-xhigh
Grok 4.6 (medium),Grok 4.6,medium,59.0064,0.782884,929.97,56.5171636807895,5.082583909203641,2,6,0.5,https://artificialanalysis.ai/models/grok-4-6-medium
Claude Opus 5 (medium),Claude Opus 5,medium,58.6355,0.724278,1116.24,,2.5633922562115643,,,,https://artificialanalysis.ai/models/claude-opus-5-medium
Qwen3.8 Max,Qwen3.8 Max,n/a,58.0774,0.913337,1532.07,,,2,6,0.25,https://artificialanalysis.ai/models/qwen3-8-max
Qwen3.8 2.4T A95B,Qwen3.8 2.4T A95B,n/a,57.7043,0.807078,1395.05,,12.057168811821267,2,6,0.25,https://artificialanalysis.ai/models/qwen3-8-2-4t-a95b
GLM-5.3-Flash,GLM-5.3-Flash,n/a,57.4592,0.086853,138.02,,,0.15,0.5,0.026,https://artificialanalysis.ai/models/glm-5-3-flash
GPT-5.6 Sol (high),GPT-5.6 Sol,high,57.3317,0.426859,699.68,77.7985719283976,1.6192502688516401,4,20,0.4,https://artificialanalysis.ai/models/gpt-5-6-sol-high
Muse Spark 1.2 (xhigh),Muse Spark 1.2,xhigh,56.7616,0.3992,639.27,,,1.25,4.25,0.15,https://artificialanalysis.ai/models/muse-spark-1-2
